Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #1426,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #1735,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio species #268,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 2,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 3,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. PIP# 5,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. (NHM_227),sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 458b,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes 885,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp.A,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. PIP# 4,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 1,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 2 (thick),sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 3 (thin),sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 1,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 10,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 2,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 3,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 4,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 5,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 6,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 6B,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 7,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 8,sediment,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,,Amphipoda,AB_ Amphipod Type 9,sediment,macrofauna
